,index,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,DP_CHOKE_SIZE,AVG_WHP_P,AVG_WHT_P,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
1396,6613,24.0,237.37128875,101.782098125,196.45376604166665,49.801480833333336,11.156114791666667,40.91752270833334,87.553913125,1345.2,205168.37,2606.06
1397,6614,24.0,235.8228812,101.778838,196.1653766,51.4188048,9.8798106,39.6575046,87.01325,1384.85,212120.95,2652.04
1398,6615,24.0,234.87726854166667,101.77029333333333,195.94850479166666,53.079665625,9.16583,38.92876375,87.755433125,1315.01,201153.08,2552.49
1399,6616,24.0,234.59783270833333,101.76028854166667,196.17519270833333,54.051226875,8.668214166666667,38.42264,87.25912395833333,1274.53,195614.42,2668.47
1400,6617,24.0,234.36197354166666,101.742456875,196.54600708333334,55.7420325,8.044385208333333,37.815966458333335,85.51367229166667,1262.51,194686.36,2673.41
1401,6618,24.0,234.48084375,101.71365916666667,196.983875625,57.064944375,7.710931041666667,37.496968125,85.83773104166667,1254.44,193423.5,2679.33
1402,6619,24.0,234.29483354166666,101.69966770833334,197.04320604166668,57.35145125,7.488506875,37.2516275,86.58447479166666,1237.46,191191.7,2829.04
1403,6620,24.0,233.93520145833332,101.68398479166666,197.03802770833335,58.602684375,7.121880833333333,36.89717375,88.0143625,1230.31,189772.61,2827.69
1404,6621,24.0,234.4464575,101.64916895833333,197.53426604166665,59.11553541666667,7.12843375,36.91219145833333,88.12996541666666,1221.89,188770.05,2838.8
1405,6622,24.0,235.74945895833332,101.61687083333334,198.30281916666667,56.960006666666665,7.6897025,37.44663979166667,88.071055625,1204.86,190634.33,2792.14
1406,6623,24.0,237.191913125,101.60811083333333,199.19375,55.20691708333333,8.245209791666667,37.998163125,87.499681875,1182.33,187678.52,2803.86
1407,6624,24.0,237.51964541666666,101.61042645833334,199.69718729166667,56.132129375,8.063154791666667,37.822458125,87.083764375,1186.89,188217.72,2846.56
1408,6625,24.0,237.91259458333334,101.61497875,200.084911875,56.507216041666666,8.046116666666666,37.827682708333334,87.90167125,1191.54,188764.44,2875.47
1409,6626,24.0,239.89034625,101.59318104166667,201.18096875,53.500805,8.957975833333334,38.7093775,86.60417645833333,1176.47,188933.75,2890.39
1410,6627,24.0,242.28349229166668,101.56907083333333,202.15549604166668,49.84368520833333,10.385292708333333,40.12799625,86.89853104166667,1166.55,184401.14,2909.03
1411,6628,24.0,242.98148,101.55924208333333,202.37768520833333,49.11746625,10.865451041666667,40.603794791666665,88.055255625,1163.63,182116.81,2936.11
1412,6629,24.0,242.96695166666666,101.55829666666666,202.38897666666668,49.22414104166667,10.86365625,40.577975,87.61107708333333,1167.89,182830.16,2938.97
1413,6630,24.0,243.10777708333333,101.55690083333333,202.52468770833335,49.050893125,10.870389583333333,40.583089375,86.742791875,1168.8,183292.19,2934.08
1414,6631,24.0,243.09639791666666,101.55953333333333,202.46685625,48.96068708333333,10.899037083333333,40.62954166666667,87.79203645833333,1169.13,182577.34,2929.33
1415,6632,24.0,243.290806875,101.556645625,202.63346,49.006063125,10.933669166666666,40.657346875,87.456380625,1170.96,183157.26,2941.85
1416,6633,24.0,243.4521670212766,101.55464212765958,202.84446425531914,48.141491458333334,10.87077170212766,40.60770276595745,86.85839446808511,1180.1,184773.8,2975.42
1417,6634,24.0,243.46423354166666,101.56079020833333,202.79807333333332,49.0523175,10.93759625,40.66616020833333,87.55722041666667,1167.93,182807.06,2874.11
1418,6635,24.0,243.62776208333332,101.562271875,202.90321166666666,48.914530416666665,10.99167375,40.724550416666666,86.96282083333334,1163.83,182112.31,2929.46
1419,6636,24.0,243.66247291666667,101.56874083333334,203.157195625,49.21065395833333,10.787838333333333,40.505277291666665,85.96785625,1159.98,182752.58,2942.66
1420,6637,24.0,243.75574770833333,101.57420958333333,203.28213270833334,49.105884583333335,10.747330208333333,40.473615,86.51135416666666,1157.19,182015.84,2943.55
1421,6638,24.0,243.99591583333333,101.5633,203.49064125,49.096013125,10.789014375,40.50527458333333,87.24488125,1157.2,181277.28,2914.28
1422,6639,24.0,244.01701208333333,101.555483125,203.63901416666667,49.14110604166667,10.661362083333334,40.377997916666665,86.76919958333333,1147.42,180752.62,2911.82
1423,6640,24.0,243.91676583333333,101.55236166666667,203.60796916666666,49.065687708333336,10.573073333333333,40.308796666666666,86.21098458333333,1143.52,180055.37,2905.42
1424,6641,24.0,243.93975765957447,101.54454170212766,203.66919319148937,48.05672479166667,10.553235744680851,40.270564468085105,87.34309893617021,1144.66,179114.44,2923.33
1425,6642,24.0,243.15261854166667,101.55055270833333,203.5585025,50.40123208333333,9.8856075,39.594116041666666,86.49292416666667,1134.68,178773.04,2907.47
1426,6643,24.0,243.453334375,101.548435,203.96876166666667,51.09547083333333,9.75488,39.48457270833333,88.22808854166666,1135.03,179806.73,2917.74
1427,6644,24.0,243.66419416666668,101.48476520833333,204.18553375,51.1328875,9.7498875,39.47866041666666,88.44222166666667,1102.77,174307.74,3011.14
1428,6645,24.0,244.49736333333334,101.56318854166666,204.90854104166667,50.62383625,9.883495833333333,39.588822291666666,88.35133125,1090.23,172320.06,3044.27
1429,6646,24.0,244.75256166666668,101.55921416666666,205.17253375,50.22836145833333,9.904462083333334,39.580027916666666,88.41367520833333,1081.38,170148.18,3041.64
1430,6647,24.0,244.86408208333333,101.54776583333333,205.39055729166665,50.300958125,9.785753541666667,39.47352479166667,88.41214354166667,1072.59,168906.74,3011.68
1431,6648,24.0,244.52869895833334,101.54162875,205.42478291666666,50.86614208333334,9.496524791666667,39.103916041666665,88.24132104166667,1066.9,169702.53,3052.22
1432,6649,24.0,244.02236833333333,101.538855,205.44443916666665,52.01125125,9.009468541666667,38.577929166666664,88.10087979166667,1061.33,169619.33,3033.3
1433,6650,24.0,243.35663375,101.533718125,205.492154375,54.059736875,8.123839583333334,37.864479375,87.74299354166666,1054.37,169304.54,3004.62
1434,6651,24.0,243.52330270833335,101.52835520833334,205.74641625,54.19711041666667,8.25596125,37.77688645833334,87.954854375,1056.65,168469.75,3013.33
1435,6652,24.0,243.221091875,101.52754541666667,205.83128625,55.197748125,7.947266458333333,37.389805625,87.97494270833333,1084.08,172523.38,3247.61
1436,6653,24.0,242.94348791666667,101.5312275,206.01640875,57.21829458333333,7.246523333333333,36.927079166666665,87.34756729166666,1054.22,167848.95,3110.13
1437,6654,24.0,242.660253125,101.53540875,206.11583104166667,58.72519729166667,6.8472389583333335,36.54442208333333,87.171748125,1056.74,166730.15,3133.73
1438,6655,24.0,242.81777604166666,101.53487791666667,206.36318104166668,59.019982291666665,6.769045833333333,36.454595,87.41972604166666,1053.23,167185.47,3157.13
1439,6656,24.0,243.03229291666668,101.53336,206.516375625,58.964716458333335,6.781617291666667,36.51591729166667,88.00064604166667,1051.23,166834.11,3186.3
1440,6657,24.0,242.51281416666666,101.53300854166666,206.29334375,59.808540625,6.5174070833333335,36.21947041666667,88.37610604166667,1052.29,166767.33,3174.31
1441,6658,23.33333,247.27830548494794,101.47840241647035,208.00484806972688,51.928491666666666,9.563520552021508,39.27345741522106,87.1773247047721,902.0,147278.13,2881.04
1442,6659,11.29167,243.96101717122446,101.52392561958506,206.8324720334813,27.282715,7.890036955038537,37.12854513774313,88.1361284035311,425.98,70994.13,1261.47
1443,6660,15.20833,255.02444559103466,101.3322165921176,213.23886697519714,28.521093125,14.421812791194036,41.78557861583751,74.01273424324695,420.57,69463.45,1810.63
1444,6661,23.45833,242.1934519151065,101.55815401349543,206.78139389089506,61.10549270833334,6.46812478878505,35.41205802421144,84.9473830584658,891.26,143308.6,3022.63
1445,6662,13.70833,250.8894859763516,101.43463499844985,210.9421553023016,27.739822291666666,10.923778229988628,39.947330674050015,78.81208462173,478.05,77281.62,1732.08
1446,6663,24.0,240.9481543542374,101.52645882721143,206.44191392121917,66.01756395833333,5.434545940565361,34.50624043301825,87.51433105094632,972.11,157318.59,3169.76
1447,6664,24.0,240.35555791666667,101.52947979166666,206.04218270833334,68.04594666666667,5.2158010416666665,34.31337520833333,87.61952291666667,987.77,159979.32,3171.92
1448,6665,24.0,240.37373479166666,101.49287604166666,206.05470458333335,68.14036708333333,5.219573125,34.31903020833333,87.16541979166666,992.03,160916.2,3147.65
1449,6666,24.0,240.10280395833334,101.48846875,205.830495625,68.224919375,5.081785625,34.272308333333335,85.820180625,999.01,162253.56,3140.34
1450,6667,24.0,240.09124666666668,101.48289208333334,205.808410625,68.21459875,5.0858372916666665,34.28283604166667,85.00925458333333,1036.59,167953.02,3090.15
1451,6668,24.0,240.597683125,101.473424375,206.19331479166667,68.23803479166666,5.192336666666667,34.40436833333333,85.36069875,1037.92,168678.01,3097.35
1452,6669,24.0,241.02049479166666,101.46659666666666,206.58287666666666,68.258389375,5.206210416666667,34.437618125,84.68204,1041.77,168798.13,3127.95
1453,6670,24.0,241.716659375,101.459144375,206.98239833333332,66.04296083333334,5.483206666666667,34.73426104166667,84.587900625,1040.31,168482.76,3056.35
1454,6671,24.0,242.11813270833332,101.44903,206.97009416666666,62.93003541666667,5.893956666666667,35.148038541666665,87.09847270833333,1039.18,168092.06,3371.1
1455,6672,24.0,241.846291875,101.44103166666666,206.79804708333333,62.98919645833333,5.799799166666666,35.04824479166667,87.7445525,1043.8,168340.59,3347.81
1456,6673,24.0,241.64584875,101.43289104166666,206.638459375,63.091684375,5.755835416666667,35.007389375,88.33242729166666,1040.77,167861.61,3328.25
1457,6674,24.0,241.636178125,101.418250625,206.66994333333332,63.23328479166667,5.73820625,34.966234791666665,88.1749525,1039.24,167658.31,3322.35
1458,6675,24.0,241.73595229166668,101.40226041666666,206.944479375,63.25755770833333,5.587185,34.79147291666666,86.045358125,1034.83,168293.29,3325.92
