,0,1,2,,DATEPRD,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,,,,,
182,3716.4443,526066.8,432.7653,,1/23/09,4479,643344.43,28.03,,,3821.7593,542333.94,415.12714
183,3702.7925,523466.62,439.6112,,1/24/09,4459.69,651056.89,35.32,,,3825.352,542195.9,408.6517
184,3691.9155,521854.22,442.31424,,1/25/09,4519.77,647831.55,36.16,,,3830.6184,542433.2,407.28766
185,3678.5981,521081.47,445.12918,,1/26/09,4522.95,650030.81,62.77,,,3836.1553,543147.56,409.4109
186,3663.5215,519717.88,448.08398,,1/27/09,4526.29,650522.86,67.91,,,3846.5981,544647.5,412.37152
187,3661.4956,518980.44,455.6741,,1/28/09,2486.86,360902.16,48.57,,,3855.0615,545680.06,411.66992
188,3721.2178,527069.3,463.6226,,1/29/09,559.58,82493.78,98.51,,,3863.5356,546486.06,406.90607
189,3768.1562,533606.5,444.19037,,1/30/09,4535.43,649388.07,298.19,,,3871.519,547119,397.9084
190,3751.0476,531171.2,436.31006,,1/31/09,4523.83,648450.26,65.17,,,3878.2434,547690.6,387.7109
191,3729.407,528360.8,424.04556,,2/1/09,2266.89,328221.38,53.92,,,3887.8105,548881.75,380.96506
192,3750.1506,531697.7,404.30753,,2/2/09,4534.47,648416.75,74.06,,,3900.4827,550804,379.79703
193,3754.4536,532241.44,399.81827,,2/3/09,4536.97,647736.32,79.52,,,3912.453,553019.3,383.0474
194,3772.6565,534141.9,407.42816,,2/4/09,384.26,56516.37,63.31,,,3928.566,555781.06,390.4467
195,3821.1313,540218.44,382.1492,,2/5/09,4417.62,630778.17,91.55,,,3947.5874,558308.2,399.27853
196,3848.5886,542961.5,375.28177,,2/6/09,4501.76,646118.76,91.78,,,3963.9502,559854.1,410.14325
197,3898.0293,548882.94,386.04886,,2/7/09,4501.18,644354.38,76.28,,,3972.2446,560369.25,421.7222
198,3959.9504,556647,418.37793,,2/8/09,4669.97,664681.95,81.29,,,3998.7878,564396.06,429.20364
199,4027.7346,565652.94,471.23465,,2/9/09,3723.99,531370.47,95.72,,,3999.4565,565155.75,434.48822
200,4078.21,573051.2,527.41364,,2/10/09,4416.34,659900.98,78.04,,,4004.221,566477,438.22864
201,4129.1772,581348.8,596.0904,,2/11/09,4379.88,629307.34,143.54,,,4018.6902,568577.6,443.66794
202,4155.387,587024.9,660.8088,,2/12/09,4440.7,631954.75,84.24,,,4024.3074,569121.1,461.61047
203,4154.421,589152.94,714.78,,2/13/09,3573.58,506865.09,101.37,,,4008.53,567289.4,486.45944
