DATEPRD,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_CHOKE_SIZE_P,AVG_WHP_P
09/21/2014,24,261.042585106383,97.9166666666666,31.1623561702127
09/22/2014,24,261.118517234042,97.9166666666666,31.1970112765957
09/23/2014,24,261.180356875,100,31.2001852083333
09/24/2014,24,261.190729375,100,31.1977233333333
09/25/2014,24,261.200031875,100,31.16376
09/26/2014,24,261.213634583333,100,31.1207802083333
09/27/2014,24,261.263816875,100,31.13898625
09/28/2014,24,261.286207291666,100,31.13697
09/29/2014,1.25833,269.570499737906,10.411233125,32.9099353507426
09/30/2014,18.24167,267.469974735613,43.944816875,34.7562641055232
10/01/2014,24,261.340315416666,100,31.0407735416666
10/02/2014,24,261.679509166666,100,31.0573479166666
10/03/2014,24,262.316802083333,100,31.450808125
10/04/2014,24,261.482748333333,100,31.0716079166666
10/05/2014,24,261.664380625,100,31.1595741666666
10/06/2014,24,261.722604166666,100,31.0615402083333
10/07/2014,24,261.426551458333,100,31.0274979166666
10/08/2014,24,261.531995531914,100,31.0959054166666
10/09/2014,24,261.3621275,100,31.0772564583333
10/10/2014,24,261.263671666666,100,31.0693339583333
10/11/2014,24,261.348578958333,100,31.0362904166666
10/12/2014,24,261.391293541666,100,31.0750108333333
10/13/2014,24,261.26625875,100,31.0783766666666
10/14/2014,24,261.326307708333,100,31.0838445833333
10/15/2014,24,261.417511875,100,31.0922758333333
10/16/2014,24,261.388946875,100,31.03373
10/17/2014,24,261.4063625,100,31.0078139583333
10/18/2014,24,261.423350625,100,30.9694979166666
10/19/2014,24,261.445032916666,100,31.0006660416666
10/20/2014,24,261.454868541666,100,31.0519708333333
10/21/2014,24,261.473912083333,100,31.0192341666666
10/22/2014,24,261.49282375,100,31.0526033333333
10/23/2014,24,261.535852291666,100,31.025031875
10/24/2014,24,261.566591875,100,31.0759797916666
10/25/2014,24,261.571558125,100,31.0032508333333
10/26/2014,25,261.6027546,100,31.0005436
10/27/2014,24,261.92685375,100,31.2744379166666
10/28/2014,24,262.409002291666,100,31.6389414583333
10/29/2014,24,262.071358333333,100,30.7939727083333
10/30/2014,24,261.290586875,100,30.96269875
10/31/2014,24,261.222071702127,97.9166666666666,30.9168553191489
11/01/2014,24,261.204666666666,100,30.9199560416666
11/02/2014,24,261.202799787234,97.9166666666666,30.9128334042553
11/03/2014,24,261.23524680851,100,30.9057480851063
11/04/2014,24,261.27200125,100,30.9908225
11/05/2014,24,261.292157083333,100,30.9839960416666
11/06/2014,24,261.321092708333,100,30.8820610416666
11/07/2014,24,261.126861458333,100,30.6984722916666
11/08/2014,24,259.119321875,100,29.099259375
11/09/2014,24,258.693586041666,100,28.665886875
11/10/2014,24,258.913923404255,100,28.8530906382978
11/11/2014,24,258.751623125,100,28.6458047916666
11/12/2014,24,258.818192916666,100,28.6396914583333
11/13/2014,24,258.986885416666,100,28.6940875
11/14/2014,24,258.938121875,100,28.6591522916666
11/15/2014,24,258.962818333333,100,28.6574847916666
11/16/2014,24,258.949235,100,28.6813072916666
11/17/2014,24,258.777320208333,100,28.669351875
11/18/2014,24,258.511197291666,100,28.5797958333333
11/19/2014,24,260.267870208333,100,30.090353125
11/20/2014,24,260.304878958333,100,30.27923125
11/21/2014,24,259.316302083333,100,29.5240195833333
11/22/2014,24,259.364872083333,100,29.4635829166666
11/23/2014,24,259.212806875,100,29.5629439583333
11/24/2014,24,260.32132375,100,30.2541395833333
11/25/2014,24,260.959165,100,30.7509910416666
11/26/2014,24,261.055838125,100,31.494166875
11/27/2014,24,261.898908958333,100,31.4721375
11/28/2014,22.05833,266.17606452459,70.6455075,35.044203605223
11/29/2014,14.94167,273.240954667497,45.2596716666666,38.5460470215846
11/30/2014,23.5,266.426745214102,70.68658875,34.9916462819957
12/01/2014,24,263.723406041666,82.4609152083333,33.1681797916666
12/02/2014,24,262.0482275,100,31.6881983333333
12/03/2014,24,261.983641458333,100,31.7151314583333
12/04/2014,23.33333,267.563998540482,72.4915802083333,36.4190416091573
12/05/2014,24,265.189552291666,73.6903727083333,34.8336129166666
12/06/2014,24,261.700301666666,100,31.7542095833333
12/07/2014,24,261.790202916666,100,31.7672304166666
12/08/2014,24,261.781148333333,100,31.7891602083333
12/09/2014,24,261.736414583333,100,31.7549595833333
12/10/2014,24,261.693420208333,100,31.7673327083333
12/11/2014,24,261.678921666666,100,31.786214375
12/12/2014,24,261.509981702127,97.9166666666666,31.7944435416666
12/13/2014,24,261.512522127659,97.9166666666666,31.7944272340425
12/14/2014,24,261.469610212766,97.9166666666666,31.7333717021276
12/15/2014,24,261.468262340425,97.9166666666666,31.8059204255319
12/16/2014,24,261.488468958333,100,31.8088270833333
12/17/2014,24,261.524877916666,100,31.7974458333333
12/18/2014,22.33334,264.648039781738,75.489321875,34.067384610309
12/19/2014,23.66667,264.440866653145,80.4311879166666,34.1397928211953
12/20/2014,24,261.622371063829,97.9166666666666,31.8929785416666
12/21/2014,24,261.669091458333,100,31.902686875
12/22/2014,24,261.727961489361,97.9166666666666,31.8840408510638
12/23/2014,24,261.727877083333,100,31.9046766666666
12/24/2014,24,261.759215416666,100,31.9706170833333
12/25/2014,24,261.791530208333,100,31.995188125
12/26/2014,24,261.843599791666,100,31.9948058333333
12/27/2014,24,261.914148333333,100,31.9127020833333
12/28/2014,24,262.02007375,100,31.9999095833333
12/29/2014,23.5,265.04547830851,83.284015625,34.0893964893617
12/30/2014,24,262.766014583333,100,32.1095410416666
12/31/2014,24,262.467956875,100,32.0215595833333
01/01/2015,24,262.291792708333,100,31.786616875
01/02/2015,24,261.932980416666,100,31.3080466666666
01/03/2015,24,262.42792625,100,31.5727620833333
01/04/2015,24,262.334459375,100,31.3701425
01/05/2015,24,262.628621458333,100,31.5096989583333
01/06/2015,24,262.443014375,100,31.1981420833333
01/07/2015,24,262.63018875,100,31.2567616666666
01/08/2015,24,262.837698541666,100,31.3778127083333
01/09/2015,18,267.462493513888,56.2196735416666,34.427500625
01/10/2015,20.75,268.063677566265,65.139583125,35.8961606506024
01/11/2015,24,264.864467708333,84.2466564583333,32.9653345833333
01/12/2015,24,264.005897708333,100,31.9415625
01/13/2015,24,263.736393333333,100,31.7015820833333
