,DATEPRD,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,AVG_WHP_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
1927,2015-04-07,265.09710979166664,99.49596625,234.51602104166668,100.0,30.58108875,2.0634260416666668,250.49,36391.81,3176.07
1928,2015-04-08,265.07886541666664,99.59928770833334,234.546179375,100.0,30.53268604166667,2.012730625,251.63,36481.1,3186.56
1929,2015-04-09,265.088045625,99.59945,234.612836875,100.0,30.47520875,1.96295125,250.8,36394.66,3177.18
1930,2015-04-10,265.06561958333333,99.59945,234.61203395833334,100.0,30.453585625,1.9202220833333334,248.18,36319.35,3189.91
1931,2015-04-11,265.0528772916667,99.59945,234.60681583333334,100.0,30.446061458333332,1.912968125,249.16,36177.03,3176.45
1932,2015-04-12,265.0858083333333,99.59947354166667,234.58521625,100.0,30.500592083333334,1.966318125,249.64,36522.06,3173.63
1933,2015-04-13,265.5432108333333,99.61370583333333,234.99135833333332,100.0,30.5518525,1.9961195833333334,249.2,37369.45,3217.63
1934,2015-04-14,265.970871875,99.63612125,235.29962708333332,100.0,30.671244791666666,2.1095225,250.23,37532.02,3333.89
1935,2015-04-15,266.3607789361702,99.65518021276596,235.57689234042553,97.91666666666667,30.78388659574468,2.2105022207446807,249.89,37039.67,3375.2
1936,2015-04-16,266.540264375,99.666913125,235.69177791666667,100.0,30.848486458333333,2.2374533333333333,252.44,37472.55,3460.38
1937,2015-04-17,266.7597580851064,99.6737044680851,235.84781234042552,97.91666666666667,30.91194574468085,2.304658085106383,254.67,37879.69,3484.44
1938,2015-04-18,267.1339889361702,99.6882129787234,236.16610276595745,97.91666666666667,30.967886170212765,2.351108085106383,252.32,37571.89,3550.23
1939,2015-04-19,267.19060319148934,99.69683425531915,236.20637127659575,97.91666666666667,30.984231914893616,2.385035319148936,254.68,36786.2,3584.51
1940,2015-04-20,267.03227979166667,99.68950083333333,236.050350625,100.0,30.981929166666667,2.3673320833333333,255.71,37126.86,3592.75
1941,2015-04-21,266.936783125,99.68819020833334,235.96967541666666,100.0,30.967107708333334,2.3401664583333335,257.81,37945.22,3413.32
1942,2015-04-22,266.835783125,99.681515625,235.90431395833335,100.0,30.931469166666666,2.3118027083333335,257.92,37733.62,3488.72
1943,2015-04-23,266.73866895833334,99.67956,235.85658729166667,100.0,30.882081666666668,2.2845164583333335,269.39,38970.11,3450.88
1944,2015-04-24,266.62133520833333,99.67956,235.80750833333335,100.0,30.813826875,2.251057708333333,268.14,38810.72,3442.74
1945,2015-04-25,266.5748904166667,99.67956,235.76845354166667,100.0,30.806436875,2.230160833333333,265.67,38446.47,3483.44
1946,2015-04-26,266.535898125,99.67389270833333,235.752820625,100.0,30.7830775,2.2237339583333333,265.19,38335.96,3424.63
1947,2015-04-27,266.51102583333335,99.66801791666667,235.77074041666665,100.0,30.740285416666666,2.18031,266.54,38420.55,3438.38
1948,2015-04-28,266.48192083333333,99.663495625,235.81900958333333,100.0,30.66291125,2.119865625,265.58,38221.54,3406.96
1949,2015-04-29,266.4779389583333,99.65896,235.787353125,100.0,30.690585833333333,2.119436875,265.86,38132.97,3334.59
1950,2015-04-30,266.590141875,99.65318291666667,235.73403395833333,100.0,30.856107916666666,2.1384675,266.93,38283.95,3293.68
1951,2015-05-01,266.42974166666664,99.64918979166667,235.69723479166666,100.0,30.732506875,2.1357860416666665,266.77,38059.97,3291.32
1952,2015-05-02,266.38894375,99.641275625,235.69473479166666,100.0,30.694208958333334,2.119604375,264.65,37706.63,3278.55
1953,2015-05-03,266.3170891666667,99.63836,235.73974708333333,100.0,30.577342083333335,2.035665,261.21,37646.76,3268.61
1954,2015-05-04,266.2883504166667,99.63102770833333,235.733748125,100.0,30.554602291666665,2.0043989583333333,256.3,37262.04,3292.79
1955,2015-05-05,266.2791422916667,99.62648416666667,235.72079291666665,100.0,30.558349375,1.991939375,256.05,37457.9,3284.53
1956,2015-05-06,266.27385541666666,99.61779979166667,235.773624375,100.0,30.500231041666666,1.926345625,251.22,36700.18,3284.73
1957,2015-05-07,266.23943770833336,99.6156425,235.65565958333335,100.0,30.583778125,1.9995964583333334,251.83,36547.25,3272.78
1958,2015-05-08,266.22883729166665,99.60863895833333,235.65537458333333,100.0,30.573462708333334,1.9998822916666668,248.81,37109.76,3270.46
